Congress,name,value
93rd,1973-4,23.0
96th,1979-80,21.2
97th,1981-2,22.4
103rd,1993-4,0.2
105th,1997-8,0.0
106th,1999-00,10.7
107th,2001-2,22.3
108th,2003-4,16.9
109th,2005-6,23.9
110th,2007-8,2.6
111th,2009-10,25.8
112th,2011-12,30.7
